Name,Archive,Area,Area Type,Counter,Created Time,Destacados,Edited,Notas,Referencias
Investment,No,Finanzas Personales (Finanzas%20Personales%20240df0c8fb608170a488c04c62b5a5ec.md),Personal,0 Notes,30 de julio de 2025 12:51,Sin título (https://www.notion.so/ec3817c07d4a4f61be0cc5a3fa32670b?pvs=21),30 de julio de 2025 12:51,,
Taxes,No,Finanzas Personales (Finanzas%20Personales%20240df0c8fb608170a488c04c62b5a5ec.md),Personal,0 Notes,30 de julio de 2025 12:51,Sin título (https://www.notion.so/ec3817c07d4a4f61be0cc5a3fa32670b?pvs=21),30 de julio de 2025 12:51,,
Presupuesto personal,No,Finanzas Personales (Finanzas%20Personales%20240df0c8fb608170a488c04c62b5a5ec.md),Personal,0 Notes,30 de julio de 2025 12:51,Sin título (https://www.notion.so/ec3817c07d4a4f61be0cc5a3fa32670b?pvs=21),30 de julio de 2025 12:51,,
