Name,Archive,Area,Area Type,Counter,Created Time,Destacados,Edited,Notas,Referencias
Youtube,No,"Marca Personal (Marca%20Personal%20240df0c8fb6081528b38ce93e9b3fc3c.md), Conocimiento (Conocimiento%20240df0c8fb60819181dbdfd9c233e5c4.md)","Empresa,Personal",0 Notes,30 de julio de 2025 12:51,Sin título (https://www.notion.so/ec3817c07d4a4f61be0cc5a3fa32670b?pvs=21),30 de julio de 2025 12:51,Sin título (https://www.notion.so/60330091bdbf40b2b5a91516885c5976?pvs=21),
Instagram,No,Marca Personal (Marca%20Personal%20240df0c8fb6081528b38ce93e9b3fc3c.md),Empresa,0 Notes,30 de julio de 2025 12:51,Sin título (https://www.notion.so/ec3817c07d4a4f61be0cc5a3fa32670b?pvs=21),30 de julio de 2025 12:51,,
Linkedin,No,Marca Personal (Marca%20Personal%20240df0c8fb6081528b38ce93e9b3fc3c.md),Empresa,0 Notes,30 de julio de 2025 12:51,Sin título (https://www.notion.so/ec3817c07d4a4f61be0cc5a3fa32670b?pvs=21),30 de julio de 2025 12:51,,
Newsletter,No,Marca Personal (Marca%20Personal%20240df0c8fb6081528b38ce93e9b3fc3c.md),Empresa,0 Notes,30 de julio de 2025 12:51,Sin título (https://www.notion.so/ec3817c07d4a4f61be0cc5a3fa32670b?pvs=21),30 de julio de 2025 12:51,,
Página Web,No,Marca Personal (Marca%20Personal%20240df0c8fb6081528b38ce93e9b3fc3c.md),Empresa,0 Notes,30 de julio de 2025 12:51,Sin título (https://www.notion.so/ec3817c07d4a4f61be0cc5a3fa32670b?pvs=21),30 de julio de 2025 12:51,,
